2026-01-25T21:40:22.829+05:30 DEBUG 15692 --- [gametout] [main] i.g.r.s.u.ReactorOnClasspathCondition    : Reactor related Aspect extensions are not activated because Resilience4j Reactor module is not on the classpath.
2026-01-25T21:40:22.862+05:30 DEBUG 15692 --- [gametout] [main] i.g.r.s.u.RxJava2OnClasspathCondition    : RxJava2 related Aspect extensions are not activated, because RxJava2 is not on the classpath.
2026-01-25T21:40:22.862+05:30 DEBUG 15692 --- [gametout] [main] i.g.r.s.u.ReactorOnClasspathCondition    : Reactor related Aspect extensions are not activated because Resilience4j Reactor module is not on the classpath.
2026-01-25T21:40:22.882+05:30 DEBUG 15692 --- [gametout] [main] i.g.r.s.u.RxJava2OnClasspathCondition    : RxJava2 related Aspect extensions are not activated, because RxJava2 is not on the classpath.
2026-01-25T21:40:22.883+05:30 DEBUG 15692 --- [gametout] [main] i.g.r.s.u.ReactorOnClasspathCondition    : Reactor related Aspect extensions are not activated because Resilience4j Reactor module is not on the classpath.
2026-01-25T21:40:22.903+05:30 DEBUG 15692 --- [gametout] [main] i.g.r.s.u.RxJava2OnClasspathCondition    : RxJava2 related Aspect extensions are not activated, because RxJava2 is not on the classpath.
2026-01-25T21:40:22.903+05:30 DEBUG 15692 --- [gametout] [main] i.g.r.s.u.ReactorOnClasspathCondition    : Reactor related Aspect extensions are not activated because Resilience4j Reactor module is not on the classpath.
2026-01-25T21:40:22.922+05:30 DEBUG 15692 --- [gametout] [main] i.g.r.s.u.RxJava2OnClasspathCondition    : RxJava2 related Aspect extensions are not activated, because RxJava2 is not on the classpath.
2026-01-25T21:40:22.923+05:30 DEBUG 15692 --- [gametout] [main] i.g.r.s.u.ReactorOnClasspathCondition    : Reactor related Aspect extensions are not activated because Resilience4j Reactor module is not on the classpath.
2026-01-25T21:40:23.252+05:30  INFO 15692 --- [gametout] [main] .s.d.r.c.RepositoryConfigurationDelegate : Multiple Spring Data modules found, entering strict repository configuration mode
2026-01-25T21:40:23.254+05:30  INFO 15692 --- [gametout] [main] .s.d.r.c.RepositoryConfigurationDelegate : Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2026-01-25T21:40:23.265+05:30 DEBUG 15692 --- [gametout] [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.AutoConfigurationPackages'
2026-01-25T21:40:23.279+05:30 DEBUG 15692 --- [gametout] [main] o.s.b.a.AutoConfigurationPackages        : @EnableAutoConfiguration was declared on a class in the package 'com.gametout.gametout'. Automatic @Repository and @Entity scanning is enabled.
2026-01-25T21:40:23.281+05:30 DEBUG 15692 --- [gametout] [main] .s.d.r.c.RepositoryConfigurationDelegate : Scanning for JPA repositories in packages com.gametout.gametout.
2026-01-25T21:40:23.306+05:30 DEBUG 15692 --- [gametout] [main] o.s.d.r.c.RepositoryComponentProvider    : Identified candidate component class: file [D:\dev\GameTout\GameTout-Backend\gametout\build\classes\java\main\com\gametout\gametout\repository\FeaturedPostsRepository.class]
2026-01-25T21:40:23.307+05:30 DEBUG 15692 --- [gametout] [main] o.s.d.r.c.RepositoryComponentProvider    : Identified candidate component class: file [D:\dev\GameTout\GameTout-Backend\gametout\build\classes\java\main\com\gametout\gametout\repository\HeadlinesPostsRepository.class]
2026-01-25T21:40:23.307+05:30 DEBUG 15692 --- [gametout] [main] o.s.d.r.c.RepositoryComponentProvider    : Identified candidate component class: file [D:\dev\GameTout\GameTout-Backend\gametout\build\classes\java\main\com\gametout\gametout\repository\PaymentTransactionRepository.class]
2026-01-25T21:40:23.307+05:30 DEBUG 15692 --- [gametout] [main] o.s.d.r.c.RepositoryComponentProvider    : Identified candidate component class: file [D:\dev\GameTout\GameTout-Backend\gametout\build\classes\java\main\com\gametout\gametout\repository\PortfolioLikeRepository.class]
2026-01-25T21:40:23.307+05:30 DEBUG 15692 --- [gametout] [main] o.s.d.r.c.RepositoryComponentProvider    : Identified candidate component class: file [D:\dev\GameTout\GameTout-Backend\gametout\build\classes\java\main\com\gametout\gametout\repository\PortfolioRepository.class]
2026-01-25T21:40:23.307+05:30 DEBUG 15692 --- [gametout] [main] o.s.d.r.c.RepositoryComponentProvider    : Identified candidate component class: file [D:\dev\GameTout\GameTout-Backend\gametout\build\classes\java\main\com\gametout\gametout\repository\PortfolioResumeRepository.class]
2026-01-25T21:40:23.307+05:30 DEBUG 15692 --- [gametout] [main] o.s.d.r.c.RepositoryComponentProvider    : Identified candidate component class: file [D:\dev\GameTout\GameTout-Backend\gametout\build\classes\java\main\com\gametout\gametout\repository\PortfolioSearchRepository.class]
2026-01-25T21:40:23.307+05:30 DEBUG 15692 --- [gametout] [main] o.s.d.r.c.RepositoryComponentProvider    : Identified candidate component class: file [D:\dev\GameTout\GameTout-Backend\gametout\build\classes\java\main\com\gametout\gametout\repository\PortfolioSkillRepository.class]
2026-01-25T21:40:23.307+05:30 DEBUG 15692 --- [gametout] [main] o.s.d.r.c.RepositoryComponentProvider    : Identified candidate component class: file [D:\dev\GameTout\GameTout-Backend\gametout\build\classes\java\main\com\gametout\gametout\repository\PortfolioSocialRepository.class]
2026-01-25T21:40:23.307+05:30 DEBUG 15692 --- [gametout] [main] o.s.d.r.c.RepositoryComponentProvider    : Identified candidate component class: file [D:\dev\GameTout\GameTout-Backend\gametout\build\classes\java\main\com\gametout\gametout\repository\PostContentBlocksRepository.class]
2026-01-25T21:40:23.307+05:30 DEBUG 15692 --- [gametout] [main] o.s.d.r.c.RepositoryComponentProvider    : Identified candidate component class: file [D:\dev\GameTout\GameTout-Backend\gametout\build\classes\java\main\com\gametout\gametout\repository\PostRepository.class]
2026-01-25T21:40:23.307+05:30 DEBUG 15692 --- [gametout] [main] o.s.d.r.c.RepositoryComponentProvider    : Identified candidate component class: file [D:\dev\GameTout\GameTout-Backend\gametout\build\classes\java\main\com\gametout\gametout\repository\PostTagsRepository.class]
2026-01-25T21:40:23.307+05:30 DEBUG 15692 --- [gametout] [main] o.s.d.r.c.RepositoryComponentProvider    : Identified candidate component class: file [D:\dev\GameTout\GameTout-Backend\gametout\build\classes\java\main\com\gametout\gametout\repository\StudioRatingRepository.class]
2026-01-25T21:40:23.307+05:30 DEBUG 15692 --- [gametout] [main] o.s.d.r.c.RepositoryComponentProvider    : Identified candidate component class: file [D:\dev\GameTout\GameTout-Backend\gametout\build\classes\java\main\com\gametout\gametout\repository\StudiosRepository.class]
2026-01-25T21:40:23.307+05:30 DEBUG 15692 --- [gametout] [main] o.s.d.r.c.RepositoryComponentProvider    : Identified candidate component class: file [D:\dev\GameTout\GameTout-Backend\gametout\build\classes\java\main\com\gametout\gametout\repository\SubscriptionRepository.class]
2026-01-25T21:40:23.307+05:30 DEBUG 15692 --- [gametout] [main] o.s.d.r.c.RepositoryComponentProvider    : Identified candidate component class: file [D:\dev\GameTout\GameTout-Backend\gametout\build\classes\java\main\com\gametout\gametout\repository\UserAccountRepository.class]
2026-01-25T21:40:23.602+05:30  INFO 15692 --- [gametout] [main] .s.d.r.c.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 318 ms. Found 16 JPA repository interfaces.
2026-01-25T21:40:23.628+05:30  INFO 15692 --- [gametout] [main] .s.d.r.c.RepositoryConfigurationDelegate : Multiple Spring Data modules found, entering strict repository configuration mode
2026-01-25T21:40:23.630+05:30  INFO 15692 --- [gametout] [main] .s.d.r.c.RepositoryConfigurationDelegate : Bootstrapping Spring Data Redis repositories in DEFAULT mode.
